model,axis,n_total,n_concordant,n_discordant,flips_A0_to_A1,flips_A1_to_A0,discordance_rate,odds_ratio_ab_over_ba,or_ci_lo,or_ci_hi,mcnemar_p_exact,p_bonferroni,p_bh_fdr
Llama 3.1 8B,competence_uncertainty,950,934,16,7,9,0.016842105263157894,0.7777777777777778,0.24615893399351446,2.346978976850568,0.803619384765625,1.0,0.8867524245689655
Llama 3.1 8B,diffused_responsibility,950,937,13,5,8,0.01368421052631579,0.625,0.16087301494674788,2.1667857085866338,0.5810546875,1.0,0.7706819027286667
Llama 3.1 8B,in_out_group,950,932,18,5,13,0.018947368421052633,0.38461538461538464,0.10735743091116381,1.149622152323473,0.09625244140625,1.0,0.15795272435897437
Llama 3.1 8B,resource_scarcity,950,941,9,5,4,0.009473684210526316,1.25,0.26904923289491983,6.299501191975094,1.0,1.0,1.0
Llama 3.1 8B,self_preservation,950,923,27,22,5,0.028421052631578948,4.4,1.6258443858949037,14.873014225831163,0.0015137195587158203,0.0968780517578125,0.0038751220703125
Llama 3.1 8B,social_visibility,950,932,18,7,11,0.018947368421052633,0.6363636363636364,0.2091691608802826,1.7975846311710757,0.480682373046875,1.0,0.654546210106383
Llama 3.1 8B,time_pressure,950,928,22,16,6,0.023157894736842106,2.6666666666666665,0.9911544902495232,8.320598430773588,0.052478790283203125,1.0,0.08838533100328948
Haiku 4.5,authority_signal,950,791,159,106,53,0.16736842105263158,2.0,1.4251315468880508,2.836363715306897,3.184196047045374e-05,0.0020378854701090395,0.0001132158594505022
Haiku 4.5,competence_uncertainty,950,861,89,71,18,0.09368421052631579,3.9444444444444446,2.3258831681505074,7.032506456936,1.2968749869187788e-08,8.299999916280185e-07,8.299999916280185e-08
Haiku 4.5,diffused_responsibility,950,869,81,24,57,0.08526315789473685,0.42105263157894735,0.24988969405805148,0.689441039913657,0.0003173169180222807,0.020308282753425964,0.0009670610834964745
Haiku 4.5,in_out_group,950,891,59,30,29,0.06210526315789474,1.0344827586206897,0.5999553285687849,1.7861926383278215,1.0,1.0,1.0
Haiku 4.5,resource_scarcity,950,821,129,80,49,0.13578947368421052,1.6326530612244898,1.130116289510404,2.3797383055305987,0.008007673208090866,0.5124910853178154,0.01738005808789028
Haiku 4.5,self_preservation,950,766,184,164,20,0.1936842105263158,8.2,5.139785114350579,13.777430899989012,2.583521986507899e-29,1.6534540713650553e-27,1.6534540713650553e-27
Haiku 4.5,social_visibility,950,883,67,33,34,0.07052631578947369,0.9705882352941176,0.5826704656318834,1.615055375475718,1.0,1.0,1.0
Haiku 4.5,time_pressure,950,895,55,30,25,0.05789473684210526,1.2,0.6822128115727535,2.1279257836271066,0.5900533317766354,1.0,0.7706819027286667
GPT-4.1-mini,authority_signal,950,842,108,76,32,0.11368421052631579,2.375,1.552188055893759,3.7106540831980097,2.7607869966245203e-05,0.001766903677839693,0.00010393551046115841
GPT-4.1-mini,competence_uncertainty,950,899,51,27,24,0.05368421052631579,1.125,0.6249257449182245,2.0367432377022405,0.7797679305530743,1.0,0.8755289044806448
GPT-4.1-mini,diffused_responsibility,950,892,58,27,31,0.061052631578947365,0.8709677419354839,0.500150801858382,1.5079948153639868,0.6940040940761318,1.0,0.8380426796391026
GPT-4.1-mini,in_out_group,950,881,69,34,35,0.07263157894736842,0.9714285714285714,0.5878238513479526,1.603771430032496,0.9999999999999998,1.0,1.0
GPT-4.1-mini,resource_scarcity,950,886,64,43,21,0.06736842105263158,2.0476190476190474,1.1887739297306055,3.6323747643264594,0.008146902228698568,0.5214017426367084,0.01738005808789028
GPT-4.1-mini,self_preservation,950,828,122,94,28,0.12842105263157894,3.357142857142857,2.1812564302082253,5.319226890084958,1.576805868495512e-09,1.0091557558371277e-07,1.1212841731523641e-08
GPT-4.1-mini,social_visibility,950,873,77,33,44,0.08105263157894736,0.75,0.462663976629755,1.2050247694753513,0.2543046661477,1.0,0.3875118722250666
GPT-4.1-mini,time_pressure,950,889,61,28,33,0.06421052631578947,0.8484848484848485,0.4939735256145972,1.4479870574384144,0.6089207154048286,1.0,0.7713317844899913
GPT-5-mini,authority_signal,950,830,120,78,42,0.12631578947368421,1.8571428571428572,1.2604250628720188,2.770706226994783,0.0012993330972502712,0.08315731822401735,0.0036155355749572762
GPT-5-mini,competence_uncertainty,950,875,75,33,42,0.07894736842105263,0.7857142857142857,0.48250759200815285,1.269723901670652,0.3556992390814873,1.0,0.5173807113912543
GPT-5-mini,diffused_responsibility,950,871,79,25,54,0.08315789473684211,0.46296296296296297,0.276067361470853,0.7568741627668077,0.0014660719473423367,0.09382860462990955,0.0038751220703125
GPT-5-mini,in_out_group,950,859,91,34,57,0.09578947368421052,0.5964912280701754,0.3781840823387649,0.927953083770362,0.020584209038374254,1.0,0.03659414940155423
GPT-5-mini,resource_scarcity,950,865,85,49,36,0.08947368421052632,1.3611111111111112,0.8672813348251159,2.1545118519373254,0.19276043534155876,1.0,0.3008943380941405
GPT-5-mini,self_preservation,950,817,133,102,31,0.14,3.2903225806451615,2.1823546018739215,5.090380366147968,4.907183565421115e-10,3.140597481869514e-08,4.486567831242163e-09
GPT-5-mini,social_visibility,950,879,71,26,45,0.07473684210526316,0.5777777777777777,0.3422055832925368,0.9568565242616514,0.03192716208321237,1.0,0.055225361441232204
GPT-5-mini,time_pressure,950,875,75,42,33,0.07894736842105263,1.2727272727272727,0.7875727933326608,2.072506249773378,0.3556992390814873,1.0,0.5173807113912543
Sonnet 5,authority_signal,950,854,96,69,27,0.10105263157894737,2.5555555555555554,1.6162009044088048,4.148882958361592,2.148435253799241e-05,0.0013749985624315142,8.593741015196964e-05
Sonnet 5,competence_uncertainty,950,900,50,28,22,0.05263157894736842,1.2727272727272727,0.7022555038643572,2.334364530828004,0.47988766169832786,1.0,0.654546210106383
Sonnet 5,diffused_responsibility,950,867,83,21,62,0.08736842105263158,0.3387096774193548,0.19609000348441327,0.563449072163117,7.505332324620721e-06,0.00048034126877572614,3.202275125171508e-05
Sonnet 5,in_out_group,950,906,44,24,20,0.04631578947368421,1.2,0.6352484273388037,2.2904790823477255,0.651587827208914,1.0,0.8019542488725094
Sonnet 5,resource_scarcity,950,902,48,33,15,0.05052631578947368,2.2,1.1620986871266223,4.359163555714847,0.01328328156224501,0.8501300199836807,0.025761515757081233
Sonnet 5,self_preservation,950,869,81,61,20,0.08526315789473685,3.05,1.8148381682158088,5.336789587937333,5.656214894965935e-06,0.00036199775327781986,2.60125676873761e-05
Sonnet 5,social_visibility,950,900,50,26,24,0.05263157894736842,1.0833333333333333,0.5978319212422564,1.9708403852014726,0.887724827340783,1.0,0.9629557449120357
Sonnet 5,time_pressure,950,913,37,20,17,0.03894736842105263,1.1764705882352942,0.585337706448664,2.3912890130313955,0.7428293587290682,1.0,0.8643832537938249
