participant_id,theme_id,scenario_id,axis,modifier_text,mapped_modifier,method,score
P_F1_58485,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_58485,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_58485,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_58485,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_92989,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_92989,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_92989,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_92989,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_92989,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_54736,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_54736,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_54736,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_54736,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_54736,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_96428,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_96428,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_96428,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_96428,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_96428,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_50448,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_50448,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
P_F1_50448,SC003,SC003_2,social_visibility,,MOD_SC003_2_03,scenario_axis,1.0
P_F1_50448,SC004,SC004_2,in_out_group,,MOD_SC004_2_04,scenario_axis,1.0
P_F1_50448,SC005,SC005_2,time_pressure,,MOD_SC005_2_05,scenario_axis,1.0
P_F1_89578,SC001,SC001_2,self_preservation,,MOD_SC001_2_01,scenario_axis,1.0
P_F1_89578,SC002,SC002_2,resource_scarcity,,MOD_SC002_2_02,scenario_axis,1.0
