participant_id,model,kappa,n_modifiers
P_F2_85147,gemma4,0.000,5
P_F2_85147,llama_8B,0.000,5
P_F2_39338,dotProduct,0.000,5
P_F2_39338,gemma4,0.000,5
P_F2_39338,llama_8B,0.000,5
P_F2_11289,dotProduct,0.000,5
P_F2_11289,gemma4,0.000,5
P_F2_11289,llama_8B,0.000,5
P_F2_17614,dotProduct,0.000,5
P_F2_17614,gemma4,0.000,5
P_F2_17614,llama_8B,0.000,5
P_F2_64601,dotProduct,0.000,5
P_F2_64601,gemma4,0.000,5
P_F2_64601,llama_8B,0.000,5
P_F2_35760,dotProduct,0.000,5
P_F2_35760,gemma4,0.000,5
P_F2_35760,llama_8B,0.000,5
P_F2_94067,dotProduct,0.000,5
P_F2_94067,gemma4,0.000,5
P_F2_94067,llama_8B,0.000,5
P_F2_39862,dotProduct,0.000,5
P_F2_39862,gemma4,0.000,5
P_F2_39862,llama_8B,0.000,5
P_F2_98565,dotProduct,0.000,5
P_F2_98565,gemma4,0.000,5
P_F2_98565,llama_8B,0.000,5
P_F2_82490,dotProduct,0.000,5
P_F2_82490,gemma4,0.000,5
P_F2_82490,llama_8B,0.000,5
P_F2_98886,dotProduct,0.000,5
P_F2_98886,gemma4,0.000,5
P_F2_98886,llama_8B,0.000,5
P_F2_13024,dotProduct,0.000,5
P_F2_13024,gemma4,0.000,5
P_F2_13024,llama_8B,0.000,5
P_F2_70814,dotProduct,0.000,5
P_F2_70814,gemma4,0.000,5
P_F2_70814,llama_8B,0.000,5
P_F2_46413,dotProduct,0.000,5
P_F2_46413,gemma4,0.000,5
P_F2_46413,llama_8B,0.000,5
P_F2_32604,dotProduct,0.000,5
P_F2_32604,gemma4,0.000,5
P_F2_32604,llama_8B,0.000,5
P_F2_84285,dotProduct,0.000,5
P_F2_84285,gemma4,0.000,5
P_F2_84285,llama_8B,0.000,5
P_F2_63656,dotProduct,0.000,5
P_F2_63656,gemma4,0.000,5
P_F2_63656,llama_8B,0.000,5
P_F2_83207,dotProduct,0.000,5
P_F2_83207,gemma4,0.000,5
P_F2_83207,llama_8B,0.000,5
P_F2_37180,dotProduct,0.000,5
P_F2_37180,gemma4,0.000,5
P_F2_37180,llama_8B,0.000,5
P_F2_12078,dotProduct,0.000,5
P_F2_12078,gemma4,0.000,5
P_F2_12078,llama_8B,0.000,5
P_F2_15746,dotProduct,0.000,5
P_F2_15746,gemma4,0.000,5
P_F2_15746,llama_8B,0.000,5
